hyg_id,name,code,x,y,3d_x,3d_y,3d_z,spectrum,absmag,colorindex,habitable,number_matches,type_matches,class_matches,complete,class,type
9217,Alpha Hydri,HIP 9236,11,162,9.04196,5.15559,-19.22603,F0V,1.1614808014,0.29,False,True,True,True,True,F,V
101446,Alpha Indi,HIP 101772,126,267,13.36354,-16.27389,-22.81328,K0III,0.6499536241,0.998,False,True,True,True,True,K,I
110823,Alpha Lacertae,HIP 111169,342,10,18.57278,-7.57094,24.14324,A1V,1.2762288573,0.031,False,True,True,True,True,A,V
29198,Alpha Mensae,HIP 29271,819,41,-0.11916,2.66618,-9.79093,G5V,5.0480627897,0.714,True,True,True,True,True,G,V
2076,Ankaa,HIP 2081,105,149,17.43506,2.00814,-15.97244,K0III...,0.5234726564,1.083,False,True,True,True,True,K,I
32521,Alpha Pictoris,HIP 32607,787,224,-2.97877,13.95645,-26.77402,A7IV,0.8299360151,0.225,False,True,True,True,True,A,V
8777,Alpha Trianguli,HIP 8796,422,106,15.0568,8.09722,9.70373,F6IV,1.9523086882,0.488,False,True,True,True,True,F,V
76036,Alphekka,HIP 76267,351,439,-12.12313,-16.48652,10.299,A0V,0.4199212402,0.032,False,True,True,True,True,A,V
97726,Alshain,HIP 98036,173,573,6.5685,-11.93415,1.5299,G8IVVAR,3.0251264812,0.855,False,True,True,True,True,G,V
97339,Altair,HIP 97649,348,317,2.36166,-4.49935,0.79277,A7IV-V,2.203928062,0.221,False,True,True,True,True,A,V
69452,Arcturus,HIP 69673,424,382,-8.82091,-5.93145,3.699,K2IIIP,-0.3067128393,1.239,False,True,True,True,True,K,I
61429,B 230AB,HIP 61621,796,431,-30.3663,-5.04123,-15.77812,F0V,2.7152404584,0.334,False,True,True,True,True,F,V
67529,B 2323,HIP 67742,12,371,-9.13259,-4.88694,-12.75524,K1V,6.2916597401,0.891,True,True,True,True,True,K,V
46272,B 2530,HIP 46404,670,379,-24.46136,19.14882,-3.304,G2V,2.9064283707,0.642,False,True,True,True,True,G,V
117176,B 620AB,HIP 117542,154,149,22.01896,-0.93766,-12.41919,K1V,5.8646340717,0.839,False,True,True,True,True,K,V
75490,BAG 25,HIP 75718,94,472,-12.05692,-15.45431,-3.22639,K2V,5.3995660561,0.788,False,True,True,True,True,K,V
84046,BAR 7AB,HIP 84303,165,428,-5.73836,-28.29059,-4.26473,K3V,6.1645705222,0.925,False,True,True,True,True,K,V
